Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Americas,Caribbean,Cayman Islands,7.38,12.33,,2.00,3.89,7.56,14.74,,,,,,
Americas,Caribbean,Cuba,5.72,5.87,6.07,5.11,5.03,4.56,5.00,4.47,4.72,,,,
Americas,Caribbean,Dominica,11.42,11.38,11.34,7.07,9.89,9.88,18.31,21.08,8.40,,,,
Americas,Caribbean,Dominican Republic,21.21,24.60,25.92,22.88,22.21,24.84,24.31,24.99,25.06,22.33,,17.39,
Americas,Caribbean,Grenada,8.79,5.84,10.68,11.62,10.62,15.39,6.71,9.55,3.81,13.27,5.67,7.52,
Americas,Caribbean,Guadeloupe,0.00,5.80,5.10,5.30,6.39,7.04,7.90,,,,,,
Americas,Caribbean,Haiti,0.00,,,,5.09,5.13,6.07,6.77,9.01,10.04,,,
Americas,Caribbean,Jamaica,36.79,55.22,62.51,49.79,58.57,59.58,61.66,52.79,41.16,39.78,43.27,36.11,43.21
Americas,Caribbean,Martinique,0.00,4.80,4.79,5.79,5.80,4.29,2.78,,,,,,
Americas,Caribbean,Montserrat,0.00,0.00,20.93,20.63,,20.39,,,,,,,
Americas,Caribbean,Puerto Rico,20.79,21.12,20.50,19.95,19.55,21.65,24.04,26.34,,26.46,23.93,18.47,15.86
Americas,Caribbean,Saint Kitts and Nevis,20.97,22.72,16.28,34.12,31.71,45.02,52.21,40.11,64.15,33.55,,,
Americas,Caribbean,Saint Lucia,22.25,22.64,24.79,25.65,17.04,22.58,22.26,24.80,,21.56,,,
Americas,Caribbean,Saint Vincent and the Grenadines,16.61,25.79,21.15,11.94,33.01,14.66,18.31,22.87,19.21,25.61,,,
Americas,Caribbean,Trinidad and Tobago,17.83,20.15,29.76,28.47,29.86,41.59,38.36,35.61,26.37,28.32,30.26,29.90,30.88
Americas,Caribbean,Turks and Caicos Islands,0.00,0.00,0.00,,,6.78,6.61,,,,,,
Americas,Caribbean,United States Virgin Islands,28.53,34.19,32.48,40.01,40.12,42.11,46.91,52.64,,,,,
Americas,Northern America,Bermuda,3.08,1.54,3.07,4.61,4.62,7.74,9.33,10.95,12.58,9.50,7.97,6.41,6.45
Americas,Northern America,Canada,1.74,1.96,2.06,1.86,1.80,1.83,1.81,1.62,1.75,1.57,1.44,1.46,1.68
Americas,Northern America,Greenland,8.82,19.34,17.56,8.78,19.33,22.89,31.77,31.83,17.72,8.87,5.33,21.35,12.46
Americas,Northern America,Saint Pierre and Miquelon,0.00,,,0.00,0.00,15.95,15.94,,,,,,
Americas,Northern America,United States of America,5.68,5.50,5.65,5.79,5.68,5.41,5.01,4.75,4.69,4.72,4.52,4.43,4.88
Americas,South America,Argentina,0.00,,,,,,,,,,,7.51,6.53
Americas,South America,Bolivia (Plurinational State of),0.00,,7.17,6.44,8.34,8.85,8.56,10.61,10.21,12.40,,,
Americas,South America,Brazil,0.00,,,,23.15,23.56,22.63,21.79,23.98,26.21,26.52,27.70,26.74
Americas,South America,Chile,3.26,,3.58,3.62,3.74,3.53,3.74,3.18,3.70,2.50,3.16,3.59,
Americas,South America,Colombia,53.44,44.56,39.47,36.77,34.76,33.21,34.03,32.70,34.05,31.29,32.57,27.92,26.50
Americas,South America,Ecuador,14.58,17.69,15.44,17.08,16.00,18.04,17.87,17.66,15.45,12.48,11.01,8.23,
Americas,South America,French Guiana,0.00,29.62,22.11,19.97,12.94,14.41,13.17,,,,,,
Americas,South America,Guyana,27.74,17.65,19.12,20.57,15.42,21.12,15.58,18.58,17.20,18.33,20.37,,19.42
Americas,South America,Paraguay,22.91,21.20,18.57,15.88,13.12,13.78,13.40,11.93,10.44,10.17,9.34,8.82,9.29
Americas,South America,Peru,4.89,5.60,11.07,11.24,10.40,11.63,10.24,9.22,5.43,6.49,6.59,6.70,7.16
Americas,South America,Suriname,0.00,,3.12,,,,,9.54,,,,,10.68
Americas,South America,Uruguay,5.92,5.84,5.65,6.09,5.81,6.60,6.72,6.08,5.88,7.86,7.63,7.84,8.42
Americas,South America,Venezuela (Bolivarian Republic of),43.86,36.93,37.22,45.03,47.54,51.89,48.97,45.11,47.91,53.83,,62.00,57.15
Americas,Central America,Belize,24.89,28.61,28.59,31.64,32.51,33.64,61.80,40.11,37.67,43.06,28.76,34.40,
Americas,Central America,Costa Rica,7.27,6.69,7.89,8.15,8.44,11.56,11.70,11.59,10.30,8.74,8.73,10.03,11.77
Americas,Central America,El Salvador,37.23,46.80,63.53,65.82,58.42,52.95,72.77,66.03,72.19,42.72,41.27,64.20,108.64
Americas,Central America,Guatemala,33.70,35.00,,43.62,41.90,44.60,45.07,40.46,37.75,33.54,33.48,31.21,
Americas,Central America,Honduras,61.47,53.88,46.68,44.50,50.30,61.37,71.51,83.10,93.21,92.71,81.93,74.56,63.75
Americas,Central America,Mexico,9.44,8.62,9.04,9.38,7.84,12.18,16.95,21.71,22.61,21.27,18.64,15.96,16.35
Americas,Central America,Nicaragua,12.12,12.17,13.55,13.25,12.93,13.16,14.15,13.68,12.71,11.49,,,
Americas,Central America,Panama,10.55,9.45,10.97,10.98,12.91,18.69,22.98,20.96,20.61,17.47,17.42,14.69,11.38
Asia,Central Asia,Kyrgyzstan,8.34,8.27,8.19,8.17,8.15,8.09,7.79,19.62,8.89,5.33,3.59,3.70,5.12
Asia,Central Asia,Tajikistan,0.00,,,3.06,2.18,1.63,1.77,2.04,1.92,1.34,1.44,,
Asia,Central Asia,Turkmenistan,0.00,,4.87,,,,,4.54,,,,,4.20
Asia,Central Asia,Uzbekistan,0.00,,3.57,,,,,3.22,,,,,2.99
Asia,Central Asia,Kazakhstan*,13.15,13.67,11.68,11.08,10.51,11.35,11.00,8.56,8.58,7.53,6.55,5.20,4.84
Asia,Eastern Asia,China,1.89,1.90,1.59,1.37,1.22,1.12,1.10,1.00,0.89,0.83,0.78,0.74,
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",0.76,0.66,0.50,0.51,0.26,0.52,0.68,0.50,0.24,0.38,0.87,0.37,0.30
Asia,Eastern Asia,"China, Macao Special Administrative Region",2.88,2.18,1.50,2.29,2.23,0.79,1.15,0.37,0.73,0.72,0.18,0.00,0.17
Asia,Eastern Asia,Democratic People's Republic of Korea,0.00,,5.07,,,,,4.81,,,,,4.41
Asia,Eastern Asia,Japan,0.55,0.55,0.51,0.49,0.45,0.51,0.40,0.37,0.35,0.34,0.29,0.31,
Asia,Eastern Asia,Mongolia,13.89,13.34,15.75,13.13,11.30,8.06,8.20,8.81,9.64,7.09,7.27,7.49,7.23
Asia,Eastern Asia,Republic of Korea,0.00,,,,,,,,0.87,0.83,0.69,0.74,
Asia,Eastern Asia,Taiwan Province of China,0.00,,,1.00,0.77,0.83,0.78,0.77,,0.77,0.72,,0.82
Asia,South-Eastern Asia,Brunei Darussalam,0.86,0.56,0.55,0.81,0.80,0.26,0.78,0.25,,,0.49,,
Asia,South-Eastern Asia,Cambodia,3.95,3.90,3.36,3.33,3.34,2.46,2.50,2.30,1.84,,,,
Asia,South-Eastern Asia,Indonesia,0.74,0.64,,,,0.58,0.55,0.44,0.60,0.59,0.55,0.50,
Asia,South-Eastern Asia,Lao People's Democratic Republic,0.00,,9.62,,,,,8.03,,,,,6.87
Asia,South-Eastern Asia,Malaysia,2.27,1.96,2.34,2.24,2.44,2.20,2.03,1.92,,,,,
Asia,South-Eastern Asia,Myanmar,1.71,1.65,1.49,1.70,1.62,1.70,1.71,1.55,2.02,2.73,2.36,2.52,2.42
Asia,South-Eastern Asia,Singapore,0.56,0.48,0.47,0.37,0.38,0.56,0.40,0.37,0.31,0.21,0.31,0.25,0.25
Asia,South-Eastern Asia,Thailand,9.93,6.53,7.30,7.08,6.68,5.98,5.56,5.48,4.94,4.95,4.29,3.91,3.51
Asia,South-Eastern Asia,Timor-Leste,0.00,2.39,4.65,4.86,6.07,3.40,3.07,3.69,,,,,
Asia,South-Eastern Asia,Viet Nam,1.28,1.27,1.25,1.23,1.36,1.26,1.41,1.51,1.52,,,,
Asia,South-Eastern Asia,Philippines*,7.76,7.50,7.47,7.07,6.45,6.45,6.95,9.56,9.18,8.84,9.38,9.84,
Asia,Southern Asia,Afghanistan,0.00,,,,,,4.10,3.52,4.27,6.55,,,
Asia,Southern Asia,Bangladesh,2.50,2.77,2.51,2.88,2.64,2.76,2.81,2.63,2.59,2.65,2.80,2.84,2.51
Asia,Southern Asia,Bhutan,0.00,,,,,2.01,1.41,1.94,3.00,3.90,2.52,2.75,
Asia,Southern Asia,India,3.61,3.72,3.60,3.56,3.52,3.50,3.42,3.44,3.51,3.43,3.28,3.21,
Asia,Southern Asia,Iran (Islamic Republic of),0.00,,5.43,,,,,5.22,,,,,4.12
Asia,Southern Asia,Maldives,0.00,,,,0.95,1.56,1.84,1.80,0.89,2.90,0.85,,
Asia,Southern Asia,Nepal,3.04,3.71,3.58,2.45,3.43,3.38,3.02,3.03,2.89,2.83,2.29,2.27,
Asia,Southern Asia,Pakistan,6.35,6.47,6.28,6.42,6.61,7.39,7.50,7.77,7.98,7.81,,,
Asia,Southern Asia,Sri Lanka*,6.82,7.11,6.25,10.40,8.39,10.04,5.47,3.78,3.60,3.31,2.91,,
Asia,Western Asia,Armenia,0.00,2.74,1.92,2.63,2.58,3.26,3.27,1.89,2.39,2.18,1.97,2.40,2.45
Asia,Western Asia,Azerbaijan,2.19,2.37,2.24,2.19,2.01,1.89,1.83,2.13,,2.16,2.33,2.45,
Asia,Western Asia,Bahrain,0.39,0.87,0.46,0.74,0.39,0.54,1.09,0.87,0.54,,,,
